Datum,brand,addresse,diesle,bleifrei,lat,lon
31.10.2022,Eni,"San Roc, 7532 Tschierv",2.29,1.92,,
06.11.2022,Grenz Shop,"Chasa 241, 7560 Martina",2.29,1.92,,
06.11.2022,NAIRS,"Nairs 160, 7550 Scuol",2.29,1.92,46.78815460205078,10.269365310668945
04.09.2022,Oechslin AG,"Birchli 3, 8840 Einsiedeln",2.29,2.04,47.131103515625,8.766005516052246
04.09.2022,Hänggi,"Schermenweg 151, 3072 Ostermundigen",2.29,2.07,46.960025787353516,7.479846000671387
04.07.2022,Tamoil,"Gsteigstr. 174, 3785 Gsteig b. Gstaad",2.29,2.23,,
18.04.2022,BP,"Rte d'Aigle 58, 1867 Ollon VD",2.29,2.1,,
31.10.2022,Garage Rainalter,"Via Maistra 60, 7542 Susch",2.29,1.86,,
18.04.2022,Jubin,"Avenue du Chamossaire 9, 1860 Aigle",2.29,2.06,46.3167610168457,6.968719959259033
15.12.2022,Shell Glarnerland,"Autobahnraststätte West A3, 8867 Niederurnen",2.29,1.93,,
03.09.2022,Simeond,"Chemin d'Entre-Bois 21, 1018 Lausanne",2.29,2.02,46.53801345825195,6.631663799285889
13.05.2022,Ring Garage AG Chur,"Ringstr. 5-9, 7000 Chur",2.29,2.13,,
17.05.2022,BP,"Loretostr. 57, 9620 Lichtensteig",2.29,2.13,47.32900619506836,9.084675788879395
27.05.2022,Gruppe Tonino,"via San Gotthardo, 6780 Airolo",2.29,2.11,,
28.10.2022,Restoroute de la Gruyère,"Restoroute de la Gruyère, 1644 Avry-devant-Pont",2.29,1.92,,
05.09.2022,Hänggi,"Bolligenstr., 3072 Ostermundigen",2.29,2.07,,
11.07.2022,Ruedi Rüssel,"Chesa Fringuel, 7516 Maloja",2.29,2.16,,
04.09.2022,Hänggi,"Murtenstr. 112, 3202 Frauenkappelen",2.29,2.07,46.95469284057617,7.332042694091797
10.05.2022,Avia,"Rheinstr. 7, 9463 Oberriet SG",2.29,2.08,47.31175231933594,9.561508178710938
28.10.2022,Garage E. Schläpfer AG,"Giessereistr. 1, 8620 Wetzikon ZH",2.289,1.899,47.32563781738281,8.785320281982422
31.10.2022,Socar,"Hauptstrasse, 7537 Müstair",2.28,1.97,,
04.07.2022,Agrola,"Simmentalstr., 3763 Därstetten",2.28,2.21,,
05.09.2022,"Sihlsee-Garage, Andermatt AG","Grosserstrasse 34, 8841 Gross",2.28,2.01,47.11791229248047,8.77504825592041
28.10.2022,A9 Relais Du St-Bernard,"A9 Relais Du St-Bernard, 1920 Martigny",2.28,1.95,,
05.09.2022,Shell,"Industriestr. 20a, 8604 Volketswil",2.28,2.01,47.38070297241211,8.674080848693848
28.10.2022,BP,"Zürcherstr. 86, 8620 Wetzikon ZH",2.28,1.89,47.32785415649414,8.782623291015625
31.10.2022,PARCROM,"Cunfin, 7537 Müstair",2.28,1.94,46.63349151611328,10.455904960632324
04.07.2022,Landi,"Thunstrasse 29H, 3770 Zweisimmen",2.28,2.21,46.5613899230957,7.375121593475342
04.07.2022,Agrola,"Kantonsstr. 50, 3930 Eyholz",2.28,2.23,46.29551696777344,7.914259910583496
04.07.2022,Migrol,"Kantonstrasse, 3952 Susten",2.28,2.18,,
09.08.2022,Holzmätteli,"Hofstettenstrasse, 3626 Hünibach",2.28,2.08,,
13.05.2022,Coop Pronto,"rte Lausanne 43, 1110 Morges",2.28,2.1,,
28.10.2022,Eni Wetzikon,"Zürcherstr. 22, 8620 Wetzikon ZH",2.28,1.89,47.32130813598633,8.790119171142578
04.07.2022,Agip,"Kantonststr., 3930 Eyholz",2.28,2.22,,
12.08.2022,station,"ch Matagasses, 1268 Burtigny",2.28,2.1,46.46495819091797,6.260432243347168
26.10.2022,BP,"Bözingenstr. 100, 2500 Biel/Bienne",2.28,1.89,,
28.10.2022,Avia,"Zürcherstr. 5, 7320 Sargans",2.28,1.9,47.04752731323242,9.439399719238281
